Source,Target,Type,Id,Label,timeset,Weight
"Диммлер",Countess_Natalya_Rostova,Directed,5604,,,1
"Ланжерон",Weyrother,Directed,5605,,,1
"голос2_3_1_",Pierre_Bezukhov,Directed,5606,,,1
"адъютант34_2_3_",Napoleon_Bonaparte,Directed,5607,,,1
"офицер31_2_3_",солдаты31_2_3_,Directed,5608,,,1
"солдат 58_4_4_",солдаты8_4_4_,Directed,5609,,,1
"француз15_3_4_",пленный солдат15_3_4_,Directed,5610,,,1
"упреки9_4_4_",солдат9_4_4_,Directed,5611,,,1
Pierre_Bezukhov,кучер18_2_3_,Directed,5612,,,2
"Де-Боссе",Napoleon_Bonaparte,Directed,5613,,,5
Villarsky,Pierre_Bezukhov,Directed,5614,,,8
"молодой иностранный принц6_3_3_",HeleneKuragin,Directed,5615,,,3
AndreyBolkonsky,штаб-офицер15_2_1_,Directed,5616,,,2
Mikhail_Ilarionovich_Kutuzov,солдат6_4_4_,Directed,5617,,,1
"свитский офицер8_2_1_",Богданыч,Directed,5618,,,1
Nikolai_Rostov,Uncle,Directed,5619,,,4
"генерал6_2_1_",Prince_Nesvitsky,Directed,5620,,,1
"апшеронцы15_3_1_",Miloradovich,Directed,5621,,,1
mademoiselle_Bourienne,Princess_Mariya_Bolkonskaya,Directed,5622,,,13
Mavra_Kuzminishna,камердинер14_3_3_,Directed,5623,,,1
Petya_Rostov,Sonya_Rostova,Directed,5624,,,1
Count_Bennigsen,Pierre_Bezukhov,Directed,5625,,,2
Mikhail_Ilarionovich_Kutuzov,Miloradovich,Directed,5626,,,2
"солдаты9_4_4_",Морель,Directed,5627,,,1
"другой4_2_3_",один4_2_3_,Directed,5629,,,1
"другой офицер18_3_1_",Nikolai_Rostov,Directed,5630,,,1
Count_Ilya_Rostov,Nastasya Ivanovna (buffoon),Directed,5631,,,2
Pierre_Bezukhov,адъютант31_2_3_,Directed,5632,,,5
"один из гусар13_3_1_",Nikolai_Rostov,Directed,5633,,,1
Nikolai_Rostov,гусара13_3_1_,Directed,5634,,,1
"офицер13_2_1_",AndreyBolkonsky,Directed,5635,,,3
Zherkov,австрийский генерал3_2_1_,Directed,5636,,,2
Nikolai_Rostov,блондинка5_1_4_,Directed,5637,,,2
Lavrushka,Napoleon_Bonaparte,Directed,5638,,,3
Countess_Natalya_Rostova,лакей7_1_1_,Directed,5639,,,2
Boris_Drubetskoy,Paisi_Kaysarov,Directed,5640,,,1
Petya_Rostov,French drummer boy,Directed,5641,,,2
"генерал6_2_1_",офицеры6_2_1_,Directed,5642,,,1
AndreyBolkonsky,камердинер25_1_1_,Directed,5643,,,1
"солдатик21_2_1_",Nikolai_Rostov,Directed,5644,,,1
Danila,Nikolai_Rostov,Directed,5645,,,6
Countess_Natalya_Rostova,Dunyasha,Directed,5646,,,1
Joseph_Alexeevich_Bazdeev,Pierre_Bezukhov,Directed,5647,,,24
Captain_Ramballe,Макар Алексеевич,Directed,5648,,,1
"Бицкий",Сперанский,Directed,5649,,,2
Princess_Anna_Mikhaylovna_Drubetskaya,лакей19_1_1_,Directed,5650,,,1
NatashaRostova,буфетчик14_3_3_,Directed,5651,,,2
Mikhail_Ilarionovich_Kutuzov,Шнейдер,Directed,5652,,,1
Lieutenant_Alphonse_Karlovich_Berg,Countess_Natalya_Rostova,Directed,5653,,,2
Nikolai_Rostov,AndreyBolkonsky,Directed,5654,,,4
3,young Nikolenka Bolkonsky,Directed,6710,,,1
Princess_Mariya_Bolkonskaya,Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya,Directed,5656,,,8
"востроносенький солдат8_4_4_",фельдфебель8_4_4_,Directed,5657,,,1
"слуга Пьера1_2_2_",Pierre_Bezukhov,Directed,5658,,,1
AndreyBolkonsky,Bilibin,Directed,5659,,,28
"штаб-офицер15_2_1_",AndreyBolkonsky,Directed,5660,,,5
"Рапп",Napoleon_Bonaparte,Directed,5661,,,4
Prince_Kozlovsky,Tsar_Alexander_I_of_Russia,Directed,5662,,,1
Tsar_Alexander_I_of_Russia,генерал20_2_2_,Directed,5663,,,1
Pierre_Bezukhov,солдаты8_3_3_,Directed,5664,,,4
"ямщик1_1_2_",Nikolai_Rostov,Directed,5665,,,1
"один из свиты6_2_4_",Count_Vasily_Orlov-Denisov,Directed,5666,,,2
Count_Ilya_Rostov,Vera_Rostova,Directed,5667,,,1
viscount,Pierre_Bezukhov,Directed,5668,,,5
Napoleon_Bonaparte,Lelorgne d'Ideville,Directed,5669,,,1
4,Boris_Drubetskoy,Directed,6722,,,1
Mikhail_Ilarionovich_Kutuzov,австрийский генерал3_2_1_,Directed,5671,,,3
Nikolai_Rostov,Yakov_Alpatych,Directed,5673,,,5
Lavrushka,Nikolai_Rostov,Directed,5674,,,6
Bilibin,AndreyBolkonsky,Directed,5675,,,36
Wolzogen,Mikhail_Ilarionovich_Kutuzov,Directed,5676,,,2
viscount,Hippolyte_Kuragin,Directed,5678,,,3
mademoiselle_Bourienne,3,Directed,6716,,,1
Dron_Zakharych,Yakov_Alpatych,Directed,5680,,,6
"Андрей Севастьяныч",Nikolai_Rostov,Directed,5681,,,1
Hippolyte_Kuragin,Anna_Pavlovna_Scherer,Directed,5682,,,2
"другой офицер19_3_1_",офицер19_3_1_,Directed,5683,,,1
Tsar_Alexander_I_of_Russia,Michaud,Directed,5684,,,9
Count_Rostopchin,Pierre_Bezukhov,Directed,5686,,,6
"один из солдат 28_3_3_",Pierre_Bezukhov,Directed,5687,,,1
Bagovut,Capt._von_Toll,Directed,5688,,,1
AndreyBolkonsky,Пелагеюшка,Directed,5689,,,3
"офицер31_2_3_",солдат31_2_3_,Directed,5690,,,1
Napoleon_Bonaparte,Lavrushka,Directed,5691,,,1
Mikhail_Ilarionovich_Kutuzov,Wolzogen,Directed,5692,,,3
young Nikolenka Bolkonsky,Nikolai_Rostov,Directed,5693,,,1
Napoleon_Bonaparte,Сухтелен,Directed,5694,,,2
AndreyBolkonsky,Демьян,Directed,5695,,,1
Count_Bennigsen,Yermolov,Directed,5696,,,1
Pierre_Bezukhov,доктор20_2_3_,Directed,5697,,,2
Nikolai_Rostov,фельдшер17_2_2_,Directed,5699,,,4
"солдат7_2_1_",казак7_2_1_,Directed,5700,,,1
Ilagin,Uncle,Directed,5701,,,1
Princess_Mariya_Bolkonskaya,Savishna(nurse),Directed,5702,,,2
"один7_2_2_",другой7_2_2_,Directed,5703,,,1
Prince_Nikolay_Bolkonsky,AndreyBolkonsky,Directed,5704,,,35
Clausewitz,Wolzogen,Directed,5705,,,1
young Nikolenka Bolkonsky,Pierre_Bezukhov,Directed,5706,,,1
"полицеймейстер23_3_3_",кучер23_3_3_,Directed,5707,,,1
Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya,Pierre_Bezukhov,Directed,5708,,,9
"солдат17_2_2_",Nikolai_Rostov,Directed,5709,,,1
Prince_Kozlovsky,AndreyBolkonsky,Directed,5710,,,5
"адъютант30_2_3_",Pierre_Bezukhov,Directed,5711,,,1
Bolkonsky's architect,Prince_Nikolay_Bolkonsky,Directed,5712,,,1
3,Prince_Nikolay_Bolkonsky,Directed,6711,,,5
Marya_Dmitriyevna_Akhrosimova,Pierre_Bezukhov,Directed,5714,,,9
HeleneKuragin,Boris_Drubetskoy,Directed,5715,,,1
"кто-то11_1_4_",Pierre_Bezukhov,Directed,5716,,,2
"форейтор17_3_3_",Ефим,Directed,5717,,,1
"чиновник10_3_3_",Pierre_Bezukhov,Directed,5718,,,2
Weyrother,Ланжерон,Directed,5719,,,1
NatashaRostova,Anatole_Kuragin,Directed,5720,,,1
Napoleon_Bonaparte,Berthier,Directed,5721,,,5
3,mademoiselle_Bourienne,Directed,6712,,,1
"девушки8_2_2_",AndreyBolkonsky,Directed,5723,,,1
NatashaRostova,Boris_Drubetskoy,Directed,5724,,,10
HeleneKuragin,Bilibin,Directed,5725,,,4
"дядюшка4_4_2_",NatashaRostova,Directed,5726,,,1
Princess_Anna_Mikhaylovna_Drubetskaya,Pierre_Bezukhov,Directed,5727,,,13
"немец4_2_1_",Nikolai_Rostov,Directed,5728,,,2
Zherkov,Prince_Nesvitsky,Directed,5729,,,2
"старый солдат8_4_4_",востроносенький солдат8_4_4_,Directed,5730,,,1
Prince_Nesvitsky,офицеры6_2_1_,Directed,5731,,,2
Ilagin,Nikolai_Rostov,Directed,5732,,,7
Countess_Natalya_Rostova,управляющий16_3_3_,Directed,5733,,,1
Princess_Mariya_Bolkonskaya,Bolkonsky's architect,Directed,5734,,,1
"слуга22_1_1_",Princess_Mariya_Bolkonskaya,Directed,5735,,,1
Nikolai_Rostov,Vera_Rostova,Directed,5736,,,2
NatashaRostova,Васильич,Directed,5737,,,1
Princess_Mariya_Bolkonskaya,NatashaRostova,Directed,5738,,,29
Rostov's groom,Nikolai_Rostov,Directed,5739,,,1
AndreyBolkonsky,Countess_Natalya_Rostova,Directed,5740,,,5
NatashaRostova,Count_Ilya_Rostov,Directed,5741,,,12
Pierre_Bezukhov,один из солдат 38_3_3_,Directed,5742,,,1
Prince_Nikolay_Bolkonsky,Princess_Mariya_Bolkonskaya,Directed,5743,,,47
"штаб-офицер20_2_1_",Staff_Captain_Tushin,Directed,5744,,,2
l’homme de beaucoup de mérite,Anna_Pavlovna_Scherer,Directed,5745,,,1
"екатериненский старик5_3_2_",AndreyBolkonsky,Directed,5746,,,3
Pierre_Bezukhov,bereiter,Directed,5747,,,2
Boris_Drubetskoy,NatashaRostova,Directed,5748,,,8
"денщик Телянина4_2_1_",Nikolai_Rostov,Directed,5749,,,3
"солдаты31_2_3_",ополченцы31_2_3_,Directed,5750,,,1
"горничная8_1_2_",Prince_Nikolay_Bolkonsky,Directed,5751,,,1
Sonya_Rostova,Countess_Natalya_Rostova,Directed,5752,,,4
Pierre_Bezukhov,viscount,Directed,5753,,,6
viscount,AndreyBolkonsky,Directed,5754,,,3
"унтер-офицер13_3_1_",Nikolai_Rostov,Directed,5755,,,1
"офицер13_3_3_",Mavra_Kuzminishna,Directed,5757,,,2
"другой солдат8_4_4_",фельдфебель8_4_4_,Directed,5758,,,1
2,Prince_Nikolay_Bolkonsky,Directed,6707,,,1
NatashaRostova,Петька,Directed,5760,,,1
Princess_Anna_Mikhaylovna_Drubetskaya,Julie_Karagina,Directed,5761,,,1
"пожилая дама2_3_1_",Aline_Kuragina,Directed,5762,,,1
Pierre_Bezukhov,Marya_Dmitriyevna_Akhrosimova,Directed,5763,,,2
Napoleon_Bonaparte,адъютант 34_2_3_,Directed,5765,,,1
Bolkonsky's architect,Princess_Mariya_Bolkonskaya,Directed,5766,,,2
"пехотинец7_2_1_",гусар7_2_1_,Directed,5767,,,1
Princess_Mariya_Bolkonskaya,Countess_Natalya_Rostova,Directed,5768,,,1
Princess_Mariya_Bolkonskaya,Anna_Ignatyevna_Malvintsev,Directed,5769,,,1
"солдаты пехотного полка2_2_1_",Mikhail_Ilarionovich_Kutuzov,Directed,5770,,,1
"штаб-офицер21_2_1_",Prince_Bagration,Directed,5771,,,1
"один из солдат 18_3_3_",Pierre_Bezukhov,Directed,5772,,,1
Princess_Mariya_Bolkonskaya,старик11_2_3_,Directed,5773,,,2
Platon_Karataev,Pierre_Bezukhov,Directed,5774,,,38
"Балага",Fedor_Ivanovich_Dolokhov,Directed,5775,,,4
"муж33_3_3_",женщина33_3_3_,Directed,5776,,,2
"гусар13_3_1_",Nikolai_Rostov,Directed,5777,,,3
"Прокофий",Nikolai_Rostov,Directed,5778,,,3
"Диммлер",Sonya_Rostova,Directed,5779,,,1
Mikhail_Ilarionovich_Kutuzov,генерал15_3_1_,Directed,5780,,,4
"крестьяне Болконских11_2_3_",Princess_Mariya_Bolkonskaya,Directed,5781,,,2
Mikhail_Ilarionovich_Kutuzov,Fedor_Ivanovich_Dolokhov,Directed,5782,,,5
Countess_Natalya_Rostova,Pierre_Bezukhov,Directed,5783,,,11
Prince_Bagration,Staff_Captain_Tushin,Directed,5784,,,2
Mikhail_Ilarionovich_Kutuzov,Timohin,Directed,5785,,,1
4,l’homme de beaucoup de mérite,Directed,6724,,,2
Count_Ilya_Rostov,Julie_Karagina,Directed,5787,,,1
Pierre_Bezukhov,Nikolai_Rostov,Directed,5788,,,12
